"Genera","sp_id","PaH","PaL","AeH","AeL","VcL","VcaH","SeL","VuL","TeH","VoL"
"Monomorium","M.hanneli",1,0.904880646397698,1.20452333815007,1.1588859986436,1.04805578559371,3.59973399340012,0.684603120983719,3.15704799267134,4.29004135497057,1.78217954635262
"Monomorium","M.hanneli",1,1.04641273457892,1.38935281790705,1.28983529431535,1.22549754426907,3.99555007394402,0.781561487363772,3.67691334485148,4.36636668855339,2.06560741042371
"Monomorium","M.hanneli",1,1.053393990777,1.38935281790705,1.31255597023148,1.2396107597501,3.6044512571823,0.828643504674842,3.53100408513515,4.40053231209449,2.16548760413762
"Monomorium","M.hanneli",1,0.979125295162161,1.24446004746976,1.17965264189202,1.13534982616216,3.35438448218442,0.744436065543748,3.17075795042336,4.12941358248361,1.96887773399313
"Monomorium","M.termitobium02",1,0.866586566382747,1.69509510522552,1.13817725258392,1.42940395257245,3.02863756706536,1.22609582246209,3.21478434826822,3.14512410951144,1.81348350981775
"Monomorium","M.termitobium02",1,0.969514843435757,1.68036882017569,1.1168139219187,1.34185355011344,3.73602557650211,1.13850303020455,3.76646023481588,3.30168119076825,1.5779680694785
"Monomorium","M.termitobium02",1,0.811727632609335,1.6229061510941,1.14870037625417,1.51455494378045,2.75294047500675,1.11695725148155,3.25489179574402,3.606475063305,1.45992010915786
"Monomorium","M.termitobium02",1,0.873524975507702,1.72487743582038,1.05552168835377,1.45826318138128,4.17719560515391,1.19560901618633,3.74617010439493,3.50405163317353,1.55397656365537
"Monomorium","M.termitobium02",1,0.852045385080725,1.35997936014469,0.846509584949706,1.06945772445209,2.94629553012706,0.98635568069085,3.31757390793278,2.53516209977341,1.41129187911749
"Monomorium","M.termitobium02",1,1.00292335538191,1.75664298330771,0.927056996001323,1.23783448280722,2.88232674594401,1.02878048817484,3.6552501482993,3.12842084278554,1.66237290860717
"Monomorium","M.termitobium02",1,0.97996253498824,1.85270243921266,0.947016201987117,1.19265845458747,3.47059633214683,1.06559737575945,3.28944944169704,3.2756382178772,1.61182087291309
"Monomorium","M.termitobium02",1,0.814723257326472,1.52641657793223,1.11914993707479,1.54130182362723,3.25089219569444,1.09005892956631,3.25769275744449,3.1602988888158,1.27502422036707
"Monomorium","M.termitobium02",1,0.868872741962949,1.749372740947,1.01314334876481,1.46252203785594,3.04135234158548,1.04877514809505,3.3310899642092,3.506639371295,1.56586381579463
"Monomorium","M.termitobium02",1,0.883446643061212,1.61700623608624,1.03177967892253,1.33711889583738,2.92248348714247,1.08520929886145,3.31711807032538,3.61437095427948,1.46083427864481
"Monomorium","M.termitobium02",1,0.889670783571565,1.66576532220877,0.955001411364017,1.30003810779086,2.8232479749332,1.11312508756383,3.40281485559308,3.60643155014082,1.47139409245298
"Monomorium","M.termitobium02",1,0.672870874037416,1.25551433589396,0.734141793892062,0.922809635827864,2.96535452286595,0.851802770091359,2.73427327407388,3.26465359058563,1.25818520590184
"Monomorium","M.drm01",1,0.926255385310954,1.54799346729135,1.00308386618796,1.40741408097523,3.82866380608114,1.13591793268787,3.1874395768676,1.93907236650393,1.70053211069162
"Monomorium","M.drm01",1,0.877353264298169,1.63726627235155,0.964240306834097,1.37747754103637,3.94301026003269,1.22878840138895,3.13366195463095,1.98304123132828,1.45618383821799
"Monomorium","M.drm01",1,0.900505634732324,1.50321506799984,1.02315840016845,1.42172622483312,3.21759250369382,1.21151568529441,3.21433538143425,2.09935624679706,1.5572979995027
"Monomorium","M.drm01",1,1.00569423170274,1.56877572128262,1.07416022900608,1.43082586348424,3.46082315875041,1.25719850830156,3.37227673674988,2.2998685723292,1.27692806364109
"Monomorium","M.drm01",1,0.902575624371929,1.47605168250197,1.0175169169034,1.4505616413517,3.39613420299482,1.22657929696767,3.39372795759257,2.962717320896,1.50527815477065
"Monomorium","M.drm01",1,1.03965570507241,1.62101203904134,1.06509087408359,1.53084841037707,4.29765445923332,1.36971652958022,3.20829807949166,2.24648054067411,1.73610291070417
"Monomorium","M.drm01",1,1.00392533370659,1.58806706009299,1.06721457982906,1.46724699518258,3.22856394223955,1.29372587552994,3.21654612186244,2.34277630605034,1.30346864328604
"Monomorium","M.termitobium03",1,0.734131004193224,1.22733361914032,0.816249159292835,0.970045188337984,2.14898823942817,0.767804622398963,2.73845104717423,2.05099314575146,1.23080840628772
